"","Block","RandOrder","Word","TargetValence","PrimeValence","Answer","RandTransp","RT","Correct","Id","Congruence","OMSI","AGE","GENDER","MusExpertise"
"1","MAJ_DIM",27,"death","NegWord","NegChord",1,4,441,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Congruent",1,28,1,"Non-musician"
"2","MAJ_DIM",3,"gentle","PosWord","PosChord",2,7,417,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Congruent",1,28,1,"Non-musician"
"3","MAJ_DIM",11,"death","NegWord","PosChord",1,6,451,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Incongruent",1,28,1,"Non-musician"
"4","MAJ_DIM",18,"lively","PosWord","NegChord",2,10,563,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Incongruent",1,28,1,"Non-musician"
"5","MAJ_DIM",7,"comfy","PosWord","PosChord",2,6,444,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Congruent",1,28,1,"Non-musician"
"6","MAJ_DIM",21,"excite","PosWord","NegChord",2,3,455,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Incongruent",1,28,1,"Non-musician"
"7","MAJ_DIM",22,"kiss","PosWord","NegChord",2,10,468,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Incongruent",1,28,1,"Non-musician"
"8","MAJ_DIM",23,"comfy","PosWord","NegChord",2,10,420,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Incongruent",1,28,1,"Non-musician"
"9","MAJ_DIM",2,"lively","PosWord","PosChord",2,10,415,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Congruent",1,28,1,"Non-musician"
"10","MAJ_DIM",13,"arrest","NegWord","PosChord",1,2,402,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Incongruent",1,28,1,"Non-musician"
"11","MAJ_DIM",29,"arrest","NegWord","NegChord",1,2,416,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Congruent",1,28,1,"Non-musician"
"12","MAJ_DIM",16,"morgue","NegWord","PosChord",1,7,469,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Incongruent",1,28,1,"Non-musician"
"13","MAJ_DIM",24,"relax","PosWord","NegChord",2,1,479,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Incongruent",1,28,1,"Non-musician"
"14","MAJ_DIM",32,"morgue","NegWord","NegChord",1,2,469,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Congruent",1,28,1,"Non-musician"
"15","MAJ_DIM",5,"excite","PosWord","PosChord",2,3,397,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Congruent",1,28,1,"Non-musician"
"16","MAJ_DIM",6,"kiss","PosWord","PosChord",2,9,396,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Congruent",1,28,1,"Non-musician"
"17","MAJ_DIM",25,"rabid","NegWord","NegChord",1,8,499,1,"concept_priming2.2023-05-11-1636.data.281a4663-9f7f-47ac-8815-142c86924299.txt","Congruent",1,28,1,"Non-musician"
