"","Block","RandOrder","Word","TargetValence","PrimeValence","Answer","RandTransp","RT","Correct","Id","Congruence","OMSI","AGE","GENDER","MusExpertise"
"1","MAJ_MIN",21,"excite","PosWord","NegChord",2,10,450,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"2","MAJ_MIN",14,"fatal","NegWord","PosChord",1,7,533,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"3","MAJ_MIN",23,"comfy","PosWord","NegChord",2,6,647,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"4","MAJ_MIN",20,"cuddle","PosWord","NegChord",2,6,476,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"5","MAJ_MIN",15,"dismal","NegWord","PosChord",1,9,466,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"6","MAJ_MIN",10,"hijack","NegWord","PosChord",1,1,549,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"7","MAJ_MIN",4,"cuddle","PosWord","PosChord",2,5,468,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"8","MAJ_MIN",8,"relax","PosWord","PosChord",2,1,594,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"9","MAJ_MIN",29,"arrest","NegWord","NegChord",1,6,556,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"10","MAJ_MIN",9,"rabid","NegWord","PosChord",1,9,607,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"11","MAJ_MIN",18,"lively","PosWord","NegChord",2,2,417,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"12","MAJ_MIN",22,"kiss","PosWord","NegChord",2,1,490,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"13","MAJ_MIN",13,"arrest","NegWord","PosChord",1,9,494,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"14","MAJ_MIN",1,"sweet","PosWord","PosChord",2,1,458,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"15","MAJ_MIN",17,"sweet","PosWord","NegChord",2,9,462,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"16","MAJ_MIN",28,"vomit","NegWord","NegChord",1,7,598,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"17","MAJ_MIN",2,"lively","PosWord","PosChord",2,1,592,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"18","MAJ_MIN",6,"kiss","PosWord","PosChord",2,11,489,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"19","MAJ_MIN",12,"vomit","NegWord","PosChord",1,3,466,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"20","MAJ_MIN",7,"comfy","PosWord","PosChord",2,11,495,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"21","MAJ_MIN",27,"death","NegWord","NegChord",1,1,471,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"22","MAJ_MIN",5,"excite","PosWord","PosChord",2,8,469,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Congruent",2,19,2,"Non-musician"
"23","MAJ_MIN",16,"morgue","NegWord","PosChord",1,11,497,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
"24","MAJ_MIN",19,"gentle","PosWord","NegChord",2,6,319,1,"concept_priming1.2023-05-05-1520.data.b75f6eda-3ae7-493f-8429-d98bc4e9f94c.txt","Incongruent",2,19,2,"Non-musician"
