"","Block","RandOrder","Word","TargetValence","PrimeValence","Answer","RandTransp","RT","Correct","Id","Congruence","OMSI","AGE","GENDER","MusExpertise"
"1","MAJ_SUS",30,"fatal","NegWord","NegChord",1,6,686,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Congruent",5,23,2,"Musician"
"2","MAJ_SUS",8,"relax","PosWord","PosChord",2,5,743,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Congruent",5,23,2,"Musician"
"3","MAJ_SUS",15,"dismal","NegWord","PosChord",1,9,588,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Incongruent",5,23,2,"Musician"
"4","MAJ_SUS",26,"hijack","NegWord","NegChord",1,10,653,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Congruent",5,23,2,"Musician"
"5","MAJ_SUS",11,"death","NegWord","PosChord",1,3,643,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Incongruent",5,23,2,"Musician"
"6","MAJ_SUS",16,"morgue","NegWord","PosChord",1,10,584,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Incongruent",5,23,2,"Musician"
"7","MAJ_SUS",4,"cuddle","PosWord","PosChord",2,8,617,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Congruent",5,23,2,"Musician"
"8","MAJ_SUS",17,"sweet","PosWord","NegChord",2,2,601,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Incongruent",5,23,2,"Musician"
"9","MAJ_SUS",23,"comfy","PosWord","NegChord",2,10,585,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Incongruent",5,23,2,"Musician"
"10","MAJ_SUS",1,"sweet","PosWord","PosChord",2,1,535,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Congruent",5,23,2,"Musician"
"11","MAJ_SUS",9,"rabid","NegWord","PosChord",1,1,658,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Incongruent",5,23,2,"Musician"
"12","MAJ_SUS",22,"kiss","PosWord","NegChord",2,1,629,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Incongruent",5,23,2,"Musician"
"13","MAJ_SUS",2,"lively","PosWord","PosChord",2,7,592,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Congruent",5,23,2,"Musician"
"14","MAJ_SUS",32,"morgue","NegWord","NegChord",1,6,577,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Congruent",5,23,2,"Musician"
"15","MAJ_SUS",7,"comfy","PosWord","PosChord",2,3,628,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Congruent",5,23,2,"Musician"
"16","MAJ_SUS",27,"death","NegWord","NegChord",1,3,526,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Congruent",5,23,2,"Musician"
"17","MAJ_SUS",20,"cuddle","PosWord","NegChord",2,4,560,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Incongruent",5,23,2,"Musician"
"18","MAJ_SUS",18,"lively","PosWord","NegChord",2,10,592,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Incongruent",5,23,2,"Musician"
"19","MAJ_SUS",24,"relax","PosWord","NegChord",2,1,498,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Incongruent",5,23,2,"Musician"
"20","MAJ_SUS",12,"vomit","NegWord","PosChord",1,10,542,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Incongruent",5,23,2,"Musician"
"21","MAJ_SUS",14,"fatal","NegWord","PosChord",1,6,534,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Incongruent",5,23,2,"Musician"
"22","MAJ_SUS",31,"dismal","NegWord","NegChord",1,2,548,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Congruent",5,23,2,"Musician"
"23","MAJ_SUS",28,"vomit","NegWord","NegChord",1,9,613,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Congruent",5,23,2,"Musician"
"24","MAJ_SUS",10,"hijack","NegWord","PosChord",1,3,701,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Incongruent",5,23,2,"Musician"
"25","MAJ_SUS",6,"kiss","PosWord","PosChord",2,11,652,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Congruent",5,23,2,"Musician"
"26","MAJ_SUS",5,"excite","PosWord","PosChord",2,4,670,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Congruent",5,23,2,"Musician"
"27","MAJ_SUS",29,"arrest","NegWord","NegChord",1,8,624,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Congruent",5,23,2,"Musician"
"28","MAJ_SUS",3,"gentle","PosWord","PosChord",2,4,543,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Congruent",5,23,2,"Musician"
"29","MAJ_SUS",21,"excite","PosWord","NegChord",2,3,522,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Incongruent",5,23,2,"Musician"
"30","MAJ_SUS",17,"sweet","PosWord","NegChord",2,6,426,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Incongruent",5,23,2,"Musician"
"31","MAJ_SUS",5,"excite","PosWord","PosChord",2,5,378,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Congruent",5,23,2,"Musician"
"32","MAJ_SUS",15,"dismal","NegWord","PosChord",1,2,499,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Incongruent",5,23,2,"Musician"
"33","MAJ_SUS",6,"kiss","PosWord","PosChord",2,6,534,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Congruent",5,23,2,"Musician"
"34","MAJ_SUS",16,"morgue","NegWord","PosChord",1,1,555,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Incongruent",5,23,2,"Musician"
"35","MAJ_SUS",4,"cuddle","PosWord","PosChord",2,1,620,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Congruent",5,23,2,"Musician"
"36","MAJ_SUS",1,"sweet","PosWord","PosChord",2,6,496,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Congruent",5,23,2,"Musician"
"37","MAJ_SUS",25,"rabid","NegWord","NegChord",1,2,440,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Congruent",5,23,2,"Musician"
"38","MAJ_SUS",19,"gentle","PosWord","NegChord",2,10,565,1,"concept_priming2.2023-05-12-1032.data.31c1ec2d-e32a-4ab8-be08-96c32bf5670b.txt","Incongruent",5,23,2,"Musician"
